Time resolution is 1 ps
第 46 行数据的第 3 位为 0
第 46 行数据的第 4 位为 0
第 46 行数据的第 5 位为 0
第 46 行数据的第 6 位为 0
第 46 行数据的第 7 位为 1
第 47 行数据的第 0 位为 0
第 47 行数据的第 1 位为 0
第 47 行数据的第 2 位为 0
第 47 行数据的第 3 位为 0
第 47 行数据的第 4 位为 0
第 47 行数据的第 5 位为 0
第 47 行数据的第 6 位为 0
第 47 行数据的第 7 位为 0
第 48 行数据的第 0 位为 0
第 48 行数据的第 1 位为 0
第 48 行数据的第 2 位为 0
第 48 行数据的第 3 位为 0
第 48 行数据的第 4 位为 0
第 48 行数据的第 5 位为 0
第 48 行数据的第 6 位为 0
第 48 行数据的第 7 位为 0
第 49 行数据的第 0 位为 0
第 49 行数据的第 1 位为 0
第 49 行数据的第 2 位为 0
第 49 行数据的第 3 位为 0
第 49 行数据的第 4 位为 0
第 49 行数据的第 5 位为 0
第 49 行数据的第 6 位为 0
第 49 行数据的第 7 位为 0
第 50 行数据的第 0 位为 0
第 50 行数据的第 1 位为 0
第 50 行数据的第 2 位为 0
第 50 行数据的第 3 位为 0
第 50 行数据的第 4 位为 0
第 50 行数据的第 5 位为 0
第 50 行数据的第 6 位为 0
第 50 行数据的第 7 位为 0
第 51 行数据的第 0 位为 0
第 51 行数据的第 1 位为 0
第 51 行数据的第 2 位为 0
第 51 行数据的第 3 位为 0
第 51 行数据的第 4 位为 0
第 51 行数据的第 5 位为 0
第 51 行数据的第 6 位为 0
第 51 行数据的第 7 位为 0
第 52 行数据的第 0 位为 0
第 52 行数据的第 1 位为 0
第 52 行数据的第 2 位为 0
第 52 行数据的第 3 位为 0
第 52 行数据的第 4 位为 0
第 52 行数据的第 5 位为 0
第 52 行数据的第 6 位为 0
第 52 行数据的第 7 位为 0
第 53 行数据的第 0 位为 0
第 53 行数据的第 1 位为 0
第 53 行数据的第 2 位为 0
第 53 行数据的第 3 位为 0
第 53 行数据的第 4 位为 0
第 53 行数据的第 5 位为 0
第 53 行数据的第 6 位为 0
第 53 行数据的第 7 位为 0
第 54 行数据的第 0 位为 0
第 54 行数据的第 1 位为 0
第 54 行数据的第 2 位为 0
第 54 行数据的第 3 位为 0
第 54 行数据的第 4 位为 0
第 54 行数据的第 5 位为 0
第 54 行数据的第 6 位为 0
第 54 行数据的第 7 位为 0
第 55 行数据的第 0 位为 0
第 55 行数据的第 1 位为 0
第 55 行数据的第 2 位为 0
第 55 行数据的第 3 位为 0
第 55 行数据的第 4 位为 0
第 55 行数据的第 5 位为 0
第 55 行数据的第 6 位为 0
第 55 行数据的第 7 位为 0
第 56 行数据的第 0 位为 0
第 56 行数据的第 1 位为 0
第 56 行数据的第 2 位为 0
第 56 行数据的第 3 位为 0
第 56 行数据的第 4 位为 0
第 56 行数据的第 5 位为 0
第 56 行数据的第 6 位为 0
第 56 行数据的第 7 位为 0
第 57 行数据的第 0 位为 0
第 57 行数据的第 1 位为 0
第 57 行数据的第 2 位为 0
第 57 行数据的第 3 位为 0
第 57 行数据的第 4 位为 0
第 57 行数据的第 5 位为 0
第 57 行数据的第 6 位为 0
第 57 行数据的第 7 位为 0
第 58 行数据的第 0 位为 0
第 58 行数据的第 1 位为 0
第 58 行数据的第 2 位为 0
第 58 行数据的第 3 位为 0
第 58 行数据的第 4 位为 0
第 58 行数据的第 5 位为 0
第 58 行数据的第 6 位为 0
第 58 行数据的第 7 位为 0
第 59 行数据的第 0 位为 0
第 59 行数据的第 1 位为 0
第 59 行数据的第 2 位为 0
第 59 行数据的第 3 位为 0
第 59 行数据的第 4 位为 0
第 59 行数据的第 5 位为 0
第 59 行数据的第 6 位为 0
第 59 行数据的第 7 位为 0
第 60 行数据的第 0 位为 0
第 60 行数据的第 1 位为 0
第 60 行数据的第 2 位为 0
第 60 行数据的第 3 位为 0
第 60 行数据的第 4 位为 0
第 60 行数据的第 5 位为 0
第 60 行数据的第 6 位为 0
第 60 行数据的第 7 位为 0
第 61 行数据的第 0 位为 0
第 61 行数据的第 1 位为 0
第 61 行数据的第 2 位为 0
第 61 行数据的第 3 位为 0
第 61 行数据的第 4 位为 0
第 61 行数据的第 5 位为 0
第 61 行数据的第 6 位为 0
第 61 行数据的第 7 位为 0
第 62 行数据的第 0 位为 0
第 62 行数据的第 1 位为 0
第 62 行数据的第 2 位为 0
第 62 行数据的第 3 位为 0
第 62 行数据的第 4 位为 0
第 62 行数据的第 5 位为 0
第 62 行数据的第 6 位为 0
第 62 行数据的第 7 位为 0
第 63 行数据的第 0 位为 0
第 63 行数据的第 1 位为 0
第 63 行数据的第 2 位为 0
第 63 行数据的第 3 位为 0
第 63 行数据的第 4 位为 0
第 63 行数据的第 5 位为 0
第 63 行数据的第 6 位为 0
第 63 行数据的第 7 位为 0
第 64 行数据的第 0 位为 0
第 64 行数据的第 1 位为 1
第 64 行数据的第 2 位为 1
第 64 行数据的第 3 位为 1
第 64 行数据的第 4 位为 1
第 64 行数据的第 5 位为 1
第 64 行数据的第 6 位为 1
第 64 行数据的第 7 位为 1
第 65 行数据的第 0 位为 0
第 65 行数据的第 1 位为 0
第 65 行数据的第 2 位为 0
第 65 行数据的第 3 位为 0
第 65 行数据的第 4 位为 0
第 65 行数据的第 5 位为 0
第 65 行数据的第 6 位为 0
第 65 行数据的第 7 位为 0
第 66 行数据的第 0 位为 1
第 66 行数据的第 1 位为 0
第 66 行数据的第 2 位为 0
第 66 行数据的第 3 位为 0
第 66 行数据的第 4 位为 0
